id,prompt
901,"Write a Python function to reverse each word in a sentence without changing their order."
902,"Write a Python script to check if a number is divisible by the sum of its digits using a while loop."
903,"Write a Python function to replace each digit in a string with its corresponding English word."
904,"Write a Python script to convert each character in a string to its Unicode value."
905,"Write a Python function to find the index of the second largest number in a list."
906,"Write a Python script to return a list of unique elements that appear in both lists."
907,"Write a Python function to remove all characters from a string except letters and numbers."
908,"Write a Python script to test whether a number is equal to the reverse of the sum of its digits."
909,"Write a Python function to count the number of even-length words in a sentence."
910,"Write a Python script to generate a sequence of letters from A to Z without using a loop."
911,"Write a Python function to check if a list of strings is sorted by length."
912,"Write a Python script to print all pairs in a list whose product is even."
913,"Write a Python function to extract all palindromes from a list of words."
914,"Write a Python script to convert all elements in a list to lowercase strings."
915,"Write a Python function to return the string with the highest number of vowels from a list."
916,"Write a Python script to remove every character from a string that is a vowel or a digit."
917,"Write a Python function to find the common suffix among a list of strings."
918,"Write a Python script to test whether a list has at least one even number."
919,"Write a Python function to calculate the average of digits of a number."
920,"Write a Python script to test if all characters in a string appear the same number of times."
921,"Write a Python function to return True if any number in a list is the square of another number."
922,"Write a Python script to remove special characters and digits from a list of strings."
923,"Write a Python function to count the number of repeated digits in a number."
924,"Write a Python script to convert a string into a list where each letter is repeated twice."
925,"Write a Python function to return all elements in a list that appear only once."
926,"Write a Python script to round all numbers in a list to the nearest multiple of 3."
927,"Write a Python function to return the word with the most consonants in a sentence."
928,"Write a Python script to add all digits in a string until a single-digit result is obtained."
929,"Write a Python function to return a dictionary with character counts for only vowels in a string."
930,"Write a Python script to swap the positions of the first and last digits in a number."
931,"Write a Python function to reverse the digits of a number and check if the result is a prime number."
932,"Write a Python script to filter a list to only values that are 3-digit integers."
933,"Write a Python function to calculate the product of all digits in a number until a single-digit result."
934,"Write a Python script to count how many elements in a list are divisible by both 2 and 5."
935,"Write a Python function to check if a sentence contains all 5 vowels at least once."
936,"Write a Python script to return a list of booleans where each element is True if its index is even."
937,"Write a Python function to return the string formed by the last letters of each word in a sentence."
938,"Write a Python script to remove all characters from a string that appear more than twice."
939,"Write a Python function to replace each letter in a string with its mirror in the alphabet."
940,"Write a Python script to filter a list of strings to only those that contain no repeating characters."
941,"Write a Python function to return True if a list contains elements in strictly alternating order."
942,"Write a Python script to count how many elements in a list are equal to their index."
943,"Write a Python function to reverse the order of words in a sentence if the sentence contains more than 5 words."
944,"Write a Python script to replace every vowel in a string with the letter 'z'."
945,"Write a Python function to convert each digit of a number to the corresponding Roman numeral."
946,"Write a Python script to test whether a list contains elements only of the same type."
947,"Write a Python function to check if two numbers share the same set of digits."
948,"Write a Python script to create a dictionary of word lengths from a sentence."
949,"Write a Python function to rotate the digits of a number until it becomes divisible by 3."
950,"Write a Python script to calculate the difference between the sum of even and odd digits in a number."
951,"Write a Python function to sort words in a sentence by their vowel count."
952,"Write a Python script to check if a string contains only one type of vowel."
953,"Write a Python function to convert a list of characters to alternating case, starting with lowercase."
954,"Write a Python script to print all characters in a string that have ASCII values divisible by 3."
955,"Write a Python function to check if the total number of characters in a list of strings is a prime number."
956,"Write a Python script to return the maximum sum of any 3 consecutive numbers in a list."
957,"Write a Python function to count how many substrings in a string start and end with the same character."
958,"Write a Python script to capitalize the last letter of each word in a sentence."
959,"Write a Python function to return a list of characters that appear an odd number of times in a string."
960,"Write a Python script to create a reversed version of a string with characters spaced out by a dash."
961,"Write a Python function to return True if a string has the same characters as its reverse but in different order."
962,"Write a Python script to remove the first occurrence of each character in a string."
963,"Write a Python function to find the digit that appears most frequently across a list of numbers."
964,"Write a Python script to return the second smallest value in a list without sorting."
965,"Write a Python function to return all words in a sentence that contain exactly 4 letters."
966,"Write a Python script to count how many strings in a list contain the same first and last letter."
967,"Write a Python function to split a number into two numbers alternating its digits."
968,"Write a Python script to determine if a string can be rearranged into a palindrome."
969,"Write a Python function to sum the digits of a number raised to the power of its length."
970,"Write a Python script to convert a string of digits into a number without using int()."
971,"Write a Python function to return the largest difference between any two digits in a number."
972,"Write a Python script to check if a string contains three consecutive vowels."
973,"Write a Python function to alternate between returning the smallest and largest remaining element in a list."
974,"Write a Python script to return a list of the squares of digits in a number in reverse order."
975,"Write a Python function to count how many numbers in a list have exactly 2 digits."
976,"Write a Python script to test whether a string has alternating uppercase and lowercase characters."
977,"Write a Python function to calculate the number of distinct characters in the middle of a string."
978,"Write a Python script to find all numbers less than 100 that are palindromes in both base 10 and base 2."
979,"Write a Python function to check whether a string is a semi-palindrome (first half == reversed second half)."
980,"Write a Python script to return the number of odd characters in a string."
981,"Write a Python function to find all characters that appear in both halves of a string."
982,"Write a Python script to remove every digit that appears more than once in a number."
983,"Write a Python function to check if a string alternates between digits and letters."
984,"Write a Python script to count the total number of matching characters in the same position between two strings."
985,"Write a Python function to return the index of the first vowel in a string."
986,"Write a Python script to determine if the length of a word is a prime number."
987,"Write a Python function to remove every vowel that appears after the first vowel in a string."
988,"Write a Python script to return True if all strings in a list are palindromes."
989,"Write a Python function to find the most common last character in a list of strings."
990,"Write a Python script to reverse every word that starts with a vowel."
991,"Write a Python function to return a list of even-length palindromes from a list of strings."
992,"Write a Python script to create a dictionary from a string where keys are letters and values are positions."
993,"Write a Python function to test whether a list of numbers forms a geometric sequence."
994,"Write a Python script to extract digits from a string and sort them in ascending order."
995,"Write a Python function to replace repeated vowels in a string with incrementing numbers."
996,"Write a Python script to group words by their starting letter in a dictionary."
997,"Write a Python function to return a sorted list of all unique digits in a string."
998,"Write a Python script to convert each word in a sentence to Title Case manually."
999,"Write a Python function to determine if a list can be split into two equal sum parts."
1000,"Write a Python script to shift all digits in a number one position to the right."

